Unnamed: 0,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
Mistral-7B-Instruct-v0.3_uf_dpo_2048_2577,29.068322981366464,1.6014083110161357,community,1810,234,571,0,805,29.068322981366464,33.244443552284885,0.1925944940095761
glan2-1108-2kckpt_1000ckpt,19.627329192546583,1.3979772558354226,community,1829,157,646,2,805,19.627329192546583,21.674106908298384,0.0529486055968628
tulu_2048_default_template_trible_chosen_ta_dpo,14.738292011019285,1.3165325144693427,community,2517,107,619,0,726,14.738292011019285,14.658978847588717,0.1961576477136771
tulu-2-dpo-13b,15.422885572139302,1.2714923191945944,community,1404,123,679,2,804,15.422885572139302,23.16469084713142,0.3805997511366103
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v5,43.85093167701864,1.7477696443312052,community,1943,352,451,2,805,43.85093167701864,46.230587716870886,0.0090299493812119
wildchat_v1_8b_2048_default_template_4000,31.902985074626866,1.643655903719286,community,2045,256,547,1,804,31.902985074626866,33.411103938398526,0.0039178441983894
ta_chosen_llama3.1_instruct_dpo_2048_v2_1000,37.267080745341616,1.7052278291540195,community,1983,300,505,0,805,37.267080745341616,39.61653937861796,0.0734353704962914
wildchat_v2_8b_2048_default_template_fullft_lr5e6_3794,32.649253731343286,1.6489569291587187,community,1855,260,539,5,804,32.649253731343286,36.1576532058964,0.0807244819505728
glan2-1108-2kckpt_500ckpt,21.393034825870647,1.444456331881211,community,1825,171,631,2,804,21.393034825870647,23.458224540826357,0.0455575659519429
ta_llama3_instruct_70B_zero3_dpo_list_bsz1_trible_debug_v1,50.37267080745341,1.7622194305482903,community,1995,405,399,1,805,50.37267080745341,51.68485896451189,0.1148913097624889
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_1000,21.64179104477612,1.4532190338053046,community,2405,174,630,0,804,21.64179104477612,21.286630552973023,0.2952680503293522
Qwen2-72B-Instruct,32.04968944099379,1.6387536257317492,community,1646,255,544,6,805,32.04968944099379,40.61033055583911,0.0411817486737346
Mistral-7B-Instruct-v0.3_tapo_v2_1500,34.6583850931677,1.678305697716639,community,1982,279,526,0,805,34.6583850931677,36.78152420440761,0.1519616196884796
Phi-3-small-8k-instruct,33.02238805970149,1.6537867144949203,community,1803,263,536,5,804,33.02238805970149,38.15576276047691,0.0597526839447116
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v11,45.52795031055901,1.7551966841046232,community,1915,366,438,1,805,45.52795031055901,48.93807642713544,0.0955740254384804
bitnet,20.149253731343283,1.407273505147231,community,1735,159,639,6,804,20.149253731343283,23.89089867208041,2.93659103641735e-16
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v9,25.37313432835821,1.535595700666031,community,2376,204,600,0,804,25.37313432835821,24.744307051998923,0.1359620939321488
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v5,24.875621890547265,1.525526112058368,community,2213,200,604,0,804,24.875621890547265,25.050263098092856,0.205814375630901
ta_chosen_llama3.1_instruct_dpo_2048,37.7639751552795,1.7097466048322925,community,1989,304,501,0,805,37.7639751552795,39.8781042691172,0.0152019342108054
ta_v2_chosen_tuluv2_dpo_2048_default_template_bsz1_acc8_v2,15.193026151930262,1.2675080956323328,community,1597,122,681,0,803,15.193026151930262,17.234159515219815,0.1672848388607063
glan_dpo_v0.1_8b_2048_default_template_dpo_glanchatv2.1_ckpt9918_dpo_epoch2_checkpoint-1168,0.0,0.0,community,2048,0,805,0,805,0.0,0.0001558929515263,1.144720485391011e-05
Qwen2-7B-Instruct_2048_uf_1500,30.186335403726712,1.6142232914313392,community,1756,241,560,4,805,30.186335403726712,36.25182253456556,0.0399347573970343
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v10_1500,27.204968944099377,1.5694481075014737,community,2742,219,586,0,805,27.204968944099377,25.986437289055363,0.2015268035088625
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v15_1500,45.65217391304348,1.7555848404900696,community,1938,367,437,1,805,45.65217391304348,48.42703577067321,0.0194968020592885
Mistral-7B-Instruct-v0.3_ta_rejected_dpo_2048_v2_500,36.27329192546584,1.6956109149569194,community,1834,292,513,0,805,36.27329192546584,39.58476682519473,0.0619192036860792
Mistral-7B-Instruct-v0.3_tapo_v1_1500,35.15527950310559,1.6838545102392566,community,1931,283,522,0,805,35.15527950310559,37.497779357227095,0.1560197305484953
bitnet_glanchat_v2.1_8b_2048_default_template_sft_checkpoint-3500,10.248447204968944,1.067794292989748,community,2088,82,722,1,805,10.248447204968944,10.592088825584565,0.020717757603713
glan2-1108-2kckpt_3000ckpt,22.29813664596273,1.4666699923577748,community,1830,179,625,1,805,22.29813664596273,25.02234540365729,0.0178213098073804
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v4_1500,45.03105590062112,1.753533747203348,community,1934,362,442,1,805,45.03105590062112,47.61208166574419,0.0663873875884396
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_1500,20.0,1.410691231717197,community,2412,161,644,0,805,20.0,19.702881697994396,0.1801139603568118
magpie_8b_2048_default_template_dpo_checkpoint-2756,47.073474470734745,1.7625345359544358,community,3820,378,425,0,803,47.073474470734745,50.0,0.0
Mistral-7B-Instruct-v0.3_ta_rejected_dpo_2048_v2_1000,36.52173913043478,1.6980880688196345,community,1906,294,511,0,805,36.52173913043478,39.33108703470818,0.1072616156198017
tulu_2048_default_template_trible_uf_dpo,6.583850931677018,0.8746271416505935,community,1355,53,752,0,805,6.583850931677018,8.31962495509761,0.2996522552599777
gemma-2-2b-it,40.993788819875775,1.7345222291474744,community,1962,330,475,0,805,40.993788819875775,42.50925334520723,0.0479165853730233
vicuna-13b-v1.5,4.104477611940299,0.7001165396025468,community,1062,33,771,0,804,4.104477611940299,6.858938600444208,0.2323455624644693
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v2-1500,46.08695652173913,1.7579556516181711,community,1901,371,434,0,805,46.08695652173913,49.83590912784034,0.1442722720503813
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_1500,20.0,1.410691231717197,community,2412,161,644,0,805,20.0,19.702881697994396,0.1801139603568118
glan2_bsz2k_2e5_1000ckpt,18.09701492537313,1.354330347923495,community,1846,144,657,3,804,18.09701492537313,19.989544008436987,0.0
magpie_8b_2048_default_template_dpo_checkpoint-2756,47.073474470734745,1.7625345359544358,community,3820,378,425,0,803,47.073474470734745,50.0,0.0
ta_rejected_Qwen2-7B-Instruct_2048_v2,36.77018633540373,1.7005164676404914,community,1881,296,509,0,805,36.77018633540373,40.16042749229804,0.1049515303371194
ta_rejected_llama3.1_instruct_dpo_2048_default_template-500,45.09316770186335,1.7548521917594195,community,2021,363,442,0,805,45.09316770186335,47.02070387831073,0.0864237314271414
tulu_2048_default_template_trible_chosen_ta_dpo_1500,14.358974358974358,1.2564173096709397,community,1647,112,668,0,780,14.358974358974358,17.323066520559586,0.1819364317979998
Meta-Llama-3.1-8B,0.7453416149068323,0.3033368064035727,community,8055,6,799,0,805,0.7453416149068323,0.1958910772169248,0.0068551024185856
Mistral-7B-Instruct-v0.3_uf_dpo_2048_1500,27.32919254658385,1.571684494740476,community,1794,220,585,0,805,27.32919254658385,31.07460336998087,0.195559071933305
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_1000,22.608695652173918,1.4752166744155195,community,1901,182,623,0,805,22.608695652173918,24.27127362036765,0.2049609951407217
tulu_2048_default_template_trible_rejected_ta_dpo,21.490683229813666,1.4486307041604092,community,1939,173,632,0,805,21.490683229813666,22.87178789217293,0.1973185075295078
Qwen2-7B-Instruct_tapo_v2_1500,37.08074534161491,1.7023495868016314,community,1912,298,506,1,805,37.08074534161491,40.27347774274224,0.0509433438475496
glan1.5_7332_bsz128_2e5,13.540372670807454,1.2034798192072105,community,1710,108,695,2,805,13.540372670807454,16.266758643883158,0.0931909259098588
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_v2_500,20.54794520547945,1.4267555875863698,community,2034,165,638,0,803,20.54794520547945,21.17469029074473,0.1663461808666542
glan1.5_dpo_1529ckpt,14.427860696517412,1.2368380526545852,community,1790,115,687,2,804,14.427860696517412,16.917793743749034,0.0557559367976308
magpie_dpo_v0.1_8b_2048_default_template_dpo_glanchatv2.1_ckpt9918_dpo_lr2e6_checkpoint-1529,37.70287141073658,1.708909094258766,community,2477,300,497,4,801,37.70287141073658,37.9540920462734,0.0414313590818625
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v3,36.77018633540373,1.7005164676404914,community,2015,296,509,0,805,36.77018633540373,38.32789960455221,0.1223418125695701
wildchat_v1_8b_2048_default_template,30.51058530510585,1.6235241004442815,community,2005,244,557,2,803,30.51058530510585,31.722304700590943,0.0579180724664319
ta_rejected_Yi-1.5-9B-Chat_2048_v2_1000,43.47014925373134,1.7482428810742572,community,2328,349,454,1,804,43.47014925373134,41.556760863663925,0.048894315951851
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v5_1500,26.492537313432837,1.5572908102041398,community,2715,213,591,0,804,26.492537313432837,25.51159411647091,0.2002326630403156
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_1500,20.0,1.410691231717197,community,2412,161,644,0,805,20.0,19.702881697994396,0.1801139603568118
tulu_v2_8b_2048_default_template_dpo,7.142857142857142,0.901869627934762,community,1264,56,746,3,805,7.142857142857142,9.293972667472664,0.3511302990421855
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v1-1500,45.03105590062112,1.753533747203348,community,1912,362,442,1,805,45.03105590062112,48.545413145902174,0.0900267143063619
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v14,26.08695652173913,1.5486177240469463,community,2082,210,595,0,805,26.08695652173913,27.03390641351608,0.1641604310914763
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v3,21.26865671641791,1.444062827913004,community,2628,171,633,0,804,21.26865671641791,20.49526824449507,0.1552448758783209
magpie_dpo_v0.1_8b_2048_default_template_dpo_glanchatv2.1_ckpt9918_dpo_bsz64_checkpoint-3059,54.53980099502488,1.751655663420468,community,2086,436,363,5,804,54.53980099502488,54.31930122990693,0.0541300064984083
magpie_dpo_v0.1_8b_2048_default_template_dpo_glanchatv2.1_ckpt9918_dpo_bsz256_checkpoint-764,53.482587064676615,1.7535641949901573,community,2256,427,371,6,804,53.482587064676615,50.0,0.0
uf_llama3.1_instruct_dpo_2048_trible,44.34782608695652,1.7498549157813594,community,1984,356,447,2,805,44.34782608695652,45.55007572089873,0.0511126708184604
bitnet,19.565217391304348,1.392140365615378,community,1901,155,645,5,805,19.565217391304348,20.481992055671327,0.031464979261447
ta_rejected_noneed_length_llama3.1_instruct_2048_default_template_v2_1500,45.590062111801245,1.75649202633683,community,1935,367,438,0,805,45.590062111801245,48.70115666840349,0.0750373209831377
glan_v2_8b_2048_default_template_9490,9.82587064676617,1.0504338964193534,community,1249,79,725,0,804,9.82587064676617,14.703366352218367,0.2450586764872308
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v4,45.65217391304348,1.7555848404900696,community,1962,367,437,1,805,45.65217391304348,48.166026428485694,0.0724762360794508
ta_chosen_tuluv2_dpo_2048_default_template_bsz1_acc8_v2,15.77639751552795,1.2855613371106336,community,1437,127,678,0,805,15.77639751552795,19.60788485311449,0.1487532138500958
Yi-1.5-9B-Chat,41.61490683229814,1.7361674468605353,community,2323,334,469,2,805,41.61490683229814,34.736821785580936,0.0856796188637889
Meta-Llama-3.1-8B-Instruct,41.4179104477612,1.7360469666147569,community,2087,332,470,2,804,41.4179104477612,41.34302506600599,0.0628763508527485
gemma-2-27b-it,28.60696517412935,1.594799323696596,community,4730,230,574,0,804,28.60696517412935,29.57852609516926,0.0714578635763987
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v7_1500,26.119402985074625,1.550204697129435,community,2439,210,594,0,804,26.119402985074625,25.85711487613028,0.242687567753761
magpie_dpo_v0.1_8b_2048_default_template_dpo_glanchatv2.1_ckpt9918_dpo_bsz64_checkpoint-3059,54.53980099502488,1.751655663420468,community,2086,436,363,5,804,54.53980099502488,54.31930122990693,0.0541300064984083
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v5_1500,45.8955223880597,1.756303132995389,community,1970,368,434,2,804,45.8955223880597,48.08079529451889,7.830909430446268e-16
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_1500,27.11442786069652,1.5687842965769614,community,2351,218,586,0,804,27.11442786069652,26.90702980409111,0.2037693481451862
ta_v2_rejected_noneed_length_tuluv2_dpo_2048_default_template_bsz1_acc8_v2_1500,19.25465838509317,1.3905884653013636,community,3888,155,650,0,805,19.25465838509317,19.070331165297148,0.1953788554279663
uf_llama3.1_instruct_dpo_2048_trible_ta_rejected,41.24223602484472,1.736103879178274,community,1802,332,473,0,805,41.24223602484472,46.46925073573166,0.0771341145421029
glan1.5_dpo,12.732919254658384,1.1706654582295732,community,1861,101,701,3,805,12.732919254658384,14.449578767028386,0.0076806180739802
gemma-2b-it,13.1055900621118,1.188510986388996,community,1171,105,699,1,805,13.1055900621118,22.70805862007072,0.1344114417193997
wildchat_v2_8b_2048_default_template_full_sft,30.78358208955224,1.6253751073840448,community,1875,246,555,3,804,30.78358208955224,33.76002059789992,0.1048219477262809
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v15,43.41614906832298,1.7469046245353703,community,1971,349,455,1,805,43.41614906832298,45.93656903073889,0.0108889218229428
ta_llama3_instruct_70B_zero3_dpo_list_bsz1_trible_debug_v1_1000,49.75155279503106,1.7622466593706383,community,2004,400,404,1,805,49.75155279503106,50.65762078409415,0.0753486548623008
ta_Yi-1.5-9B-Chat_tapo_v2_1000,40.74534161490684,1.730664367173695,community,2208,327,476,2,805,40.74534161490684,37.62567004551794,0.1200551263831037
glan2_bsz2k_2e5_2064ckpt,19.21641791044776,1.3890075571330425,community,1819,154,649,1,804,19.21641791044776,21.73613393726356,0.0033615093777548
bitnet_glan1.6_2048_default_template_sft_checkpoint-538,14.03726708074534,1.2219340049712757,community,2273,112,691,2,805,14.03726708074534,13.821441408134843,0.0560766941081375
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v8_1500,7.587064676616915,0.9344272673012698,community,1423,61,743,0,804,7.587064676616915,9.333021441467702,0.2987459011589781
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v4-1500,25.341614906832294,1.5340107920726402,community,2150,204,601,0,805,25.341614906832294,25.7485735089111,0.1606134229646953
wildchat_v2_8b_2048_default_template_fullft_lr5e6_e5_9485,35.634328358208954,1.6843282524542986,community,1911,284,515,5,804,35.634328358208954,38.40022479918404,0.0400941256859703
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v15,22.885572139303484,1.4824871405098905,community,1902,184,620,0,804,22.885572139303484,24.670157295376008,0.1634808870710905
Qwen2-7B-Instruct_2048_uf_2577,31.30434782608696,1.6307257447701733,community,1782,250,551,4,805,31.30434782608696,37.0202978780086,0.0167099801329355
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v6_1500,25.71428571428571,1.5413875967529054,community,2479,207,598,0,805,25.71428571428571,25.489279070364866,0.1760597898069568
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v2,26.70807453416149,1.560347505661849,community,2040,215,590,0,805,26.70807453416149,27.835902104954403,0.1919337878490275
tulu_2048_default_template_trible_rejected_ta_dpo_1500,22.48447204968944,1.4723385304603718,community,1995,181,624,0,805,22.48447204968944,23.77154245617455,0.1833660029293794
magpie_dpo_v0.1_8b_2048_default_template_dpo_glanchatv2.1_ckpt9918_dpo_bsz64_checkpoint-3059,54.53980099502488,1.751655663420468,community,2086,436,363,5,804,54.53980099502488,54.31930122990693,0.0541300064984083
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v7,26.86567164179105,1.564233984869394,community,2350,216,588,0,804,26.86567164179105,26.756439759336324,0.1274611456556982
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v6,23.50746268656717,1.4964239093364666,community,2293,189,615,0,804,23.50746268656717,23.61960653150555,0.2141394688332518
glan2-1108-2kckpt_1500ckpt,21.5527950310559,1.446147635673778,community,1791,172,630,3,805,21.5527950310559,24.4569351342908,0.0468027262132631
glan1.5_fx,15.217391304347828,1.2652377425224364,community,1768,122,682,1,805,15.217391304347828,17.71879232214546,0.0351979859030242
uf_llama3.1_instruct_dpo_2048_trible_ta_chosen,38.88198757763976,1.719217469138025,community,1720,313,492,0,805,38.88198757763976,44.90647887396947,0.0430705699232158
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8,20.62111801242236,1.4268573882550044,community,2363,166,639,0,805,20.62111801242236,20.405264215491403,0.2028858858763832
ta_rejected_llama3.1_instruct_dpo_2048_default_template-1000,41.11801242236025,1.7353187645975865,community,1958,331,474,0,805,41.11801242236025,44.55875993739112,0.1229830874868961
ta_chosen_llama3.1_instruct_dpo_2048_v2,36.56716417910448,1.6995929927433795,community,1983,294,510,0,804,36.56716417910448,38.93011806308685,0.1170191131336209
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v3_1500,36.52173913043478,1.6980880688196345,community,1831,294,511,0,805,36.52173913043478,40.32886382112634,0.1457345762733107
WizardLM-13B-V1.2,12.079701120797012,1.1507619360910428,community,1457,97,706,0,803,12.079701120797012,17.084660002521613,0.2234384117440694
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v11,24.159402241594023,1.51149523312544,community,1929,194,609,0,803,24.159402241594023,25.900530039228016,0.1518969469572615
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v9,44.59627329192546,1.7508308466716562,community,1985,358,445,2,805,44.59627329192546,45.97762951171194,0.0366216345096962
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_v2_1000,24.347826086956523,1.5136057791398283,community,2170,196,609,0,805,24.347826086956523,24.680777171768117,0.2059307492831831
ta_v2_rejected_noneed_length_tuluv2_dpo_2048_default_template_bsz1_acc8_v2_1000,21.86335403726708,1.4576650866831882,community,3195,176,629,0,805,21.86335403726708,21.03144168553808,0.1451653925866772
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v6,45.3416149068323,1.7556941648256046,community,1952,365,440,0,805,45.3416149068323,48.57989946392445,0.1194726705954926
MagpieLM-4B-Chat-v0.1,49.68944099378882,1.7633300251206852,community,2408,400,405,0,805,49.68944099378882,43.92987175879972,0.0209803522845836
tulu-2-dpo-70b,22.422360248447205,1.4695788290917755,community,1484,180,624,1,805,22.422360248447205,31.008702826211525,0.3040958424258802
Qwen2-7B-Instruct_tapo_v2,36.45962732919254,1.6963352061675503,community,1926,293,511,1,805,36.45962732919254,39.00283078694054,0.0801064056449552
Mistral-7B-Instruct-v0.3_tapo_v2_2000,35.03105590062112,1.6824861344817883,community,2023,282,523,0,805,35.03105590062112,36.84750492299916,0.1175457039187413
uf_llama3.1_instruct_dpo_2048_job,42.98136645962733,1.743690688679682,community,1976,345,458,2,805,42.98136645962733,44.1888054570894,0.027238270511357
bitnet,18.4472049689441,1.3636651098302897,community,1922,147,655,3,805,18.4472049689441,19.187982713587434,0.0248748251454331
Qwen2-7B-Instruct,28.35820895522388,1.5857377528953605,community,1770,226,574,4,804,28.35820895522388,33.428845524862325,0.0
ta_rejected_Yi-1.5-9B-Chat_2048_v2,42.10199004975125,1.7411981053155574,community,2342,338,465,1,804,42.10199004975125,40.66507894802459,0.0612845498639712
glanchat_v2_8b_2048_default_template_fullft_lr5e6_e3,35.82089552238806,1.6874436239898725,community,1912,286,514,4,804,35.82089552238806,38.67987382918367,0.076157238966974
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v10,23.975155279503102,1.505672300406524,community,2472,193,612,0,805,23.975155279503102,23.17776035600537,0.1435606826834251
ta_rejected_noneed_length_llama3.1_instruct_2048_default_template_v2,44.96894409937888,1.7544146436764316,community,1935,362,443,0,805,44.96894409937888,48.23960681313876,0.0908407866427002
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_500,23.6318407960199,1.4991571647012754,community,3181,190,614,0,804,23.6318407960199,22.45126505934625,0.2010228156216278
ta_Yi-1.5-9B-Chat_tapo_v2_1500,43.91304347826088,1.7491445564627914,community,2222,353,451,1,805,43.91304347826088,41.0513479564456,0.0112700242901172
glan_dpo_v0.1_8b_2048_default_template_dpo_glanchatv2.1_ckpt9918_dpo_epoch2_checkpoint-1168,0.0,0.0,community,2048,0,805,0,805,0.0,0.0001558929515263,1.144720485391011e-05
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v1,44.72049689440994,1.7535063830850406,community,1892,360,445,0,805,44.72049689440994,48.42965744989595,0.1509152550074018
tulu_lora_sft_default_template_8b,4.477611940298507,0.7191339526395244,community,1244,34,766,4,804,4.477611940298507,5.770126345658841,0.1587054572575168
ta_rejected_llama3.1_instruct_2048_default_template_v2,41.73913043478261,1.7391304347826086,community,1891,336,469,0,805,41.73913043478261,45.81893675560266,0.144539662276318
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v2,26.70807453416149,1.560347505661849,community,2040,215,590,0,805,26.70807453416149,27.835902104954403,0.1919337878490275
wildchat_v2_8b_2048_default_template_3796,32.298136645962735,1.6468093882663075,community,2018,259,544,2,805,32.298136645962735,33.77534103011828,0.0451882162134139
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v10,44.34782608695652,1.7498549157813594,community,1973,356,447,2,805,44.34782608695652,46.04919865869201,1.957727357611567e-16
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v15_1500,23.75621890547264,1.5018726185065885,community,2229,191,613,0,804,23.75621890547264,24.00452665955441,0.253816593918468
magpie_dpo_v0.1_8b_2048_default_template_dpo_glanchatv2.1_ckpt9918_dpo_lr5e7_checkpoint-1529,53.35403726708074,1.7560958732939025,community,1990,428,374,3,805,53.35403726708074,54.63030068901448,0.0457482206052594
glan1.6_2e5_e3_template_bitnet,4.285714285714286,0.711576705230045,community,1697,34,770,1,805,4.285714285714286,4.643163787282767,0.086528939876102
magpie_dpo_v0.1_8b_2048_default_template_dpo_ckpt536_checkpoint-1529,57.01863354037268,1.7459045123377843,community,2197,459,346,0,805,57.01863354037268,54.223926082948914,0.0533561662270438
gemma-2-27b-it,28.60696517412935,1.594799323696596,community,4730,230,574,0,804,28.60696517412935,29.57852609516926,0.0714578635763987
glan2-1108-2kckpt_2000ckpt,20.869565217391305,1.427778520601223,community,1812,166,635,4,805,20.869565217391305,23.577066527494463,0.0080757976211758
magpie_8b_2048_default_template_checkpoint-536,35.03105590062112,1.6801887525841424,community,1546,281,522,2,805,35.03105590062112,46.72847497876575,0.1310941387525054
